Time,Channel A,Channel B
(s),(mV),(V)

0.00000000,10.51764000,-0.01220852
0.13333334,9.82786000,0.00000000
0.26666668,10.82896000,0.00976682
0.40000002,10.55427000,0.00976682
0.53333336,9.93163200,0.00976682
0.66666670,10.90221000,0.00976682
0.80000004,10.62141000,-0.01220852
0.93333338,9.96825800,-0.01220852
1.06666672,10.86558000,0.00000000
1.20000006,10.59089000,0.00000000
1.33333340,9.86448500,-0.01220852
1.46666674,10.79844000,0.01953363
1.60000008,10.55427000,-0.01220852
1.73333342,9.93163200,0.00976682
1.86666676,10.86558000,0.00000000
2.00000010,10.62141000,-0.01220852
2.13333344,9.86448500,0.00000000
2.26666678,11.14028000,0.01953363
2.40000013,10.38335000,0.00976682
2.53333347,9.93163200,0.00000000
2.66666681,10.86558000,0.00976682
2.80000015,10.48712000,0.01953363
2.93333349,9.93163200,0.00000000
3.06666683,10.76181000,-0.01220852
3.20000017,10.48712000,-0.01220852
3.33333351,10.00488000,0.00000000
3.46666685,10.72519000,0.00000000
3.60000019,10.45049000,0.00000000
3.73333353,10.03540000,0.00000000
3.86666687,10.90221000,0.00000000
4.00000021,10.48712000,-0.01220852
4.13333355,10.10866000,0.00000000
4.26666689,10.90221000,0.01953363
4.40000023,10.45049000,0.02930045
4.53333357,10.10866000,-0.02197534
4.66666691,11.10975000,0.00976682
4.80000025,10.48712000,0.00976682
4.93333359,10.10866000,0.00000000
5.06666693,10.90221000,0.00976682
5.20000027,10.38335000,0.00976682
5.33333361,10.03540000,-0.01220852
5.46666695,10.86558000,0.00000000
5.60000029,10.41997000,0.02930045
5.73333363,10.03540000,-0.01220852
5.86666697,10.93273000,-0.03174216
6.00000031,10.48712000,0.00000000
6.13333365,9.96825800,0.00976682
6.26666699,10.90221000,0.01953363
6.40000033,10.31620000,-0.02197534
6.53333367,10.03540000,0.00000000
6.66666701,11.03650000,-0.01220852
6.80000035,10.41997000,0.01953363
6.93333369,10.17580000,-0.01220852
7.06666704,11.03650000,-0.01220852
7.20000038,10.34672000,0.00000000
7.33333372,10.03540000,-0.02197534
7.46666706,10.93273000,-0.01220852
7.60000040,10.24295000,0.00000000
7.73333374,10.03540000,0.00000000
7.86666708,11.00598000,0.00000000
8.00000042,10.27957000,-0.01220852
8.13333376,10.07203000,-0.01220852
8.26666710,11.07313000,0.00000000
8.40000044,10.34672000,-0.01220852
8.53333378,10.24295000,0.00976682
8.66666712,11.10975000,0.00000000
8.80000046,10.24295000,0.00000000
8.93333380,10.03540000,-0.02197534
9.06666714,11.03650000,-0.01220852
9.20000048,10.27957000,-0.01220852
9.33333382,10.21243000,-0.02197534
9.46666716,11.17690000,-0.01220852
9.60000050,10.27957000,0.00976682
9.73333384,10.13918000,-0.01220852
