Time,Channel A,Channel B
(s),(mV),(V)

0.00000000,10.86558000,0.00000000
0.13333334,10.03540000,-0.01220852
0.26666668,10.82896000,0.00000000
0.40000002,10.93273000,0.00000000
0.53333336,9.96825800,0.00976682
0.66666670,10.76181000,-0.01220852
0.80000004,10.82896000,0.00000000
0.93333338,10.07203000,-0.03174216
1.06666672,10.96936000,-0.01220852
1.20000006,11.00598000,0.00000000
1.33333340,9.96825800,-0.01220852
1.46666674,10.82896000,-0.01220852
1.60000008,10.96936000,-0.01220852
1.73333342,10.03540000,0.00976682
1.86666676,10.76181000,-0.01220852
2.00000010,10.96936000,0.00000000
2.13333344,10.00488000,0.00000000
2.26666678,10.76181000,0.00000000
2.40000013,10.86558000,0.00976682
2.53333347,10.13918000,0.00000000
2.66666681,10.72519000,-0.02197534
2.80000015,11.00598000,-0.01220852
2.93333349,9.90111100,0.00000000
3.06666683,10.82896000,-0.01220852
3.20000017,11.07313000,0.00000000
3.33333351,9.93163200,0.00000000
3.46666685,10.79844000,0.00976682
3.60000019,11.00598000,-0.01220852
3.73333353,10.03540000,-0.01220852
3.86666687,10.72519000,0.00000000
4.00000021,10.96936000,0.00000000
4.13333355,10.13918000,-0.01220852
4.26666689,10.86558000,-0.01220852
4.40000023,10.86558000,0.00000000
4.53333357,10.10866000,-0.01220852
4.66666691,10.86558000,-0.03174216
4.80000025,10.96936000,-0.01220852
4.93333359,10.00488000,-0.01220852
5.06666693,10.82896000,-0.01220852
5.20000027,11.03650000,-0.02197534
5.33333361,10.03540000,-0.02197534
5.46666695,10.79844000,0.00976682
5.60000029,11.03650000,0.01953363
5.73333363,10.00488000,0.00976682
5.86666697,10.82896000,0.00976682
6.00000031,11.07313000,0.00000000
6.13333365,9.96825800,0.00976682
6.26666699,10.65804000,0.00000000
6.40000033,11.00598000,0.00000000
6.53333367,10.17580000,-0.02197534
6.66666701,10.79844000,-0.02197534
6.80000035,10.93273000,-0.01220852
6.93333369,10.03540000,0.00000000
7.06666704,10.82896000,-0.01220852
7.20000038,10.96936000,-0.01220852
7.33333372,10.10866000,0.00000000
7.46666706,10.62141000,0.00000000
7.60000040,10.96936000,0.00000000
7.73333374,10.03540000,-0.01220852
7.86666708,10.65804000,0.00976682
8.00000042,11.00598000,0.00000000
8.13333376,9.90111100,-0.01220852
8.26666710,10.62141000,0.00976682
8.40000044,11.03650000,0.01953363
8.53333378,10.10866000,-0.02197534
8.66666712,10.79844000,0.00976682
8.80000046,11.00598000,0.00000000
8.93333380,9.96825800,0.00000000
9.06666714,10.65804000,0.00000000
9.20000048,10.96936000,0.00976682
9.33333382,10.10866000,0.00000000
9.46666716,10.72519000,0.00976682
9.60000050,11.07313000,0.00000000
9.73333384,10.00488000,-0.01220852
